Replacement,Original
sqsp,quip
json,jason
json,Jason
thrown,throne
pull,paul
mail,male
talon,talent
hamster,hampster
intellij,intelligent
built,build
v6,vee 6
b 6,v6
sync,sink
syncer,sinker
syncing,sinking
close,clothes
!,exclamation
?,question
queue,cue
=,equals
sku,skew
queue,cu
Mhar,mar
key,ki
,,kama
,,come a
a PR,apr
jira,gera
v6,these six
v6,the six
v6,sex
v6,vex
add,ad
IntelliJ,intelli git
.,dot
console,consul
unread,and red
sqsp,whisp
boolean,bullion
!,bang
hi,hello
com,cam
combine arrays,combiner rays
sqsp,wisp
custops,cut stops
config,en fig
intellij,intelli
intellij,intel
intellij,intelli jay
hi,ha
oh no,ono
error log,analog
GitHub,at hub
main,mane
